"id","descrizione","name"
"__export__.gevi_impianti_unita_di_misura_1","Metri","m"
"__export__.gevi_impianti_unita_di_misura_2","Metri/secondo","m/s"
"__export__.gevi_impianti_unita_di_misura_3","Kilogrammi","kg"
"__export__.gevi_impianti_unita_di_misura_4","Lux","lux"
"__export__.gevi_impianti_unita_di_misura_5","Mega Ohm","MΩ"
"__export__.gevi_impianti_unita_di_misura_6","Millimetri","mm"
"__export__.gevi_impianti_unita_di_misura_7","Newton","N"
"__export__.gevi_impianti_unita_di_misura_8","Mega Pascal","MPa"
"__export__.gevi_impianti_unita_di_misura_9","Ohm","Ω"
"__export__.gevi_impianti_unita_di_misura_10","Kilo Watt","kW"
"__export__.gevi_impianti_unita_di_misura_11","Volt","V"
"__export__.gevi_impianti_unita_di_misura_12","Ampere","A"
"__export__.gevi_impianti_unita_di_misura_13","Secondi","s"
"__export__.gevi_impianti_unita_di_misura_14","Kilo Volt","kV"
