"id","impianto_categoria_id/id","name","unita_di_misura_id/id"
"__export__.gevi_impianti_impianto_attributo_descrittivo_1","__export__.gevi_impianti_impianto_categoria_7","Marca",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_2","__export__.gevi_impianti_impianto_categoria_7","N. Impianto",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_3","__export__.gevi_impianti_impianto_categoria_7","Matricola",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_4","__export__.gevi_impianti_impianto_categoria_7","Data collaudo",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_5","__export__.gevi_impianti_impianto_categoria_7","Corsa","__export__.gevi_impianti_unita_di_misura_1"
"__export__.gevi_impianti_impianto_attributo_descrittivo_6","__export__.gevi_impianti_impianto_categoria_7","Velocità","__export__.gevi_impianti_unita_di_misura_2"
"__export__.gevi_impianti_impianto_attributo_descrittivo_7","__export__.gevi_impianti_impianto_categoria_7","Portata","__export__.gevi_impianti_unita_di_misura_3"
"__export__.gevi_impianti_impianto_attributo_descrittivo_8","__export__.gevi_impianti_impianto_categoria_7","N. Fermate",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_9","__export__.gevi_impianti_impianto_categoria_3","Sistema di distribuzione",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_10","__export__.gevi_impianti_impianto_categoria_3","Potenza Totale installata","__export__.gevi_impianti_unita_di_misura_10"
"__export__.gevi_impianti_impianto_attributo_descrittivo_11","__export__.gevi_impianti_impianto_categoria_3","Tensione","__export__.gevi_impianti_unita_di_misura_11"
"__export__.gevi_impianti_impianto_attributo_descrittivo_12","__export__.gevi_impianti_impianto_categoria_3","Alimentazione","__export__.gevi_impianti_unita_di_misura_14"
"__export__.gevi_impianti_impianto_attributo_descrittivo_13","__export__.gevi_impianti_impianto_categoria_3","Dispersori (materiale/tipo)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_14","__export__.gevi_impianti_impianto_categoria_3","Conduttori di terra (materiale/sezione)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_15","__export__.gevi_impianti_impianto_categoria_3","Conduttori di protezione (materiale/sezione)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_16","__export__.gevi_impianti_impianto_categoria_3","Conduttori equipotenziali (materiale/sezione)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_17","__export__.gevi_impianti_impianto_categoria_3","Resistenza di terra (Ohm)","__export__.gevi_impianti_unita_di_misura_9"
"__export__.gevi_impianti_impianto_attributo_descrittivo_18","__export__.gevi_impianti_impianto_categoria_3","Dispositivi differenziali","__export__.gevi_impianti_unita_di_misura_12"
"__export__.gevi_impianti_impianto_attributo_descrittivo_19","__export__.gevi_impianti_impianto_categoria_3","Dispositivi a massima corrente a tempo inverso",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_20","__export__.gevi_impianti_impianto_categoria_3","Valore di corrente massima di guasto verso terra (A)","__export__.gevi_impianti_unita_di_misura_12"
"__export__.gevi_impianti_impianto_attributo_descrittivo_21","__export__.gevi_impianti_impianto_categoria_3","Tempo di intervento dispositivi di protezione installati a monte cabina utente (s)","__export__.gevi_impianti_unita_di_misura_13"
"__export__.gevi_impianti_impianto_attributo_descrittivo_22","__export__.gevi_impianti_impianto_categoria_3","Anno installazione impianto",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_23","__export__.gevi_impianti_impianto_categoria_4","Tipo di captatore",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_24","__export__.gevi_impianti_impianto_categoria_4","Resistenza del dispersore","__export__.gevi_impianti_unita_di_misura_9"
"__export__.gevi_impianti_impianto_attributo_descrittivo_25","__export__.gevi_impianti_impianto_categoria_4","art.38 lett.a) DPR n.547 (vedere DPR 689 del 26/5/59)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_26","__export__.gevi_impianti_impianto_categoria_4","azienda o lavorazione prevista dall'art.36 lett.a)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_27","__export__.gevi_impianti_impianto_categoria_4","azienda o lavorazione prevista dall'art.36 lett.b)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_28","__export__.gevi_impianti_impianto_categoria_4","art.38 lett.b) DPR n.547 (camini industriali)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_29","__export__.gevi_impianti_impianto_categoria_4","art.39 DPR n.547 (strutture metalliche degli edifici e delle opere provvisionali, grandi recipienti e apparecchi metallici situati all'aperto)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_30","__export__.gevi_impianti_impianto_categoria_4","Captatori (materiale/sezione)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_31","__export__.gevi_impianti_impianto_categoria_4","Calate (materiale/sezione)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_32","__export__.gevi_impianti_impianto_categoria_4","Dispersori (materiale/tipo)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_33","__export__.gevi_impianti_impianto_categoria_4","Conduttori equipotenziali (materiale/sezione)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_34","__export__.gevi_impianti_impianto_categoria_4","Limitatore di tensione (descrizione)",""
"__export__.gevi_impianti_impianto_attributo_descrittivo_35","__export__.gevi_impianti_impianto_categoria_4","Anno installazione impianto",""
